title,external_id,url,type,publication_year,publication_month,publication_day,journal_title,source_client_id
Experiencias de vulneración de niñas de una residencia de protección de Santiago de Chile,10.1590/1806-9584-2021v29n371097,https://doi.org/10.1590/1806-9584-2021v29n371097,journal-article,2021,,,Revista Estudos Feministas,0000-0001-8084-8498
"Política, cuerpo y escuela: expresiones feministas en el marco del Movimiento Estudiantil Secundario 2011-2016 en Chile",10.22201/cieg.2594066xe.2020.59.04,https://doi.org/10.22201/cieg.2594066xe.2020.59.04,journal-article,2019,11,15,Debate Feminista,0000-0001-8084-8498
SIMULATION OF FEEDBACK LOOPS IN ENGINEERING DESIGN,10.1017/pds.2021.527,http://dx.doi.org/10.1017/pds.2021.527,journal-article,2021,08,,Proceedings of the Design Society,0009-0003-8300-6503
Null paths on a toroidal topological black hole in conformal Weyl gravity,10.1140/epjc/s10052-018-6328-5,http://dx.doi.org/10.1140/epjc/s10052-018-6328-5,journal-article,2018,10,,The European Physical Journal C,0009-0003-8300-6503
On the Use of Dips and RocFall for Designing Structures in Highly Fractured Igneous Rocks in the Chilean Patagonia,10.2991/978-94-6463-258-3_76,http://dx.doi.org/10.2991/978-94-6463-258-3_76,book-chapter,2023,11,08,Proceedings of the Rocscience International Conference (RIC 2023) - Atlantis Highlights in Engineering,0000-0002-2742-7421
Diseño de taludes mediante un modelo calibrado por Back-Analysis.,,,lecture-speech,2022,,,,0000-0002-2742-7421
Metodología de análisis utilizando el método de los elementos finitos para un tranque de relaves considerando overtopping y fallas verticales por desplazamientos horizontales.,,,conference-poster,2021,,,"1ER ENCUENTRO DE INGENIEROS JÓVENES GEOTÉCNICOS, XI CONGRESO DE GEOTECNIA, SOCHIGE",0000-0002-2742-7421
Diseño de un Muro Pantalla Construido con Jet Grouting en Arenas de Viña del Mar,,,dissertation-thesis,,,,"Universidad de Valparaíso, Chile",0000-0002-2742-7421
La geología estructural una poderosa herramienta de la ingeniería de rocas en el diseño de taludes de gran altura,,https://www.congresomecanicarocas.cl/wp-content/uploads/2023/11/Congreso-Mecanica-de-Rocas-Trabajos-cAUS.pdf,book-chapter,,,,Proceedings Primer Congreso Sociedad Chilena de Mecánica de Rocas,0000-0002-2742-7421
Affordances como mutualismo organismo-entorno: reconsiderando la propuesta ecológica original de Gibson,10.22201/iifs.18704905e.2022.1309,http://dx.doi.org/10.22201/iifs.18704905e.2022.1309,journal-article,2022,02,15,Crítica (México D. F. En línea),0009-0005-2806-8503
"Psychometric properties of the Spanish version of a questionnaire to evaluate clinical simulation in Health Sciences degrees,Propiedades psicométricas de la versión en español de un cuestionario para evaluar la simulación clínica en titulaciones de Ciencias de la Salud",10.1016/j.enfcli.2020.08.003,http://www.scopus.com/inward/record.url?eid=2-s2.0-85096369847&partnerID=MN8TOARS,journal-article,2022,,,Enfermeria Clinica,0009-0004-9514-0782
Propiedades psicométricas de la versión en español de un cuestionario para evaluar la simulación clínica en titulaciones de Ciencias de la Salud,10.1016/j.enfcli.2020.08.003,http://dx.doi.org/10.1016/j.enfcli.2020.08.003,journal-article,2022,01,,Enfermería Clínica,0009-0004-9514-0782
Capacidad predictiva de la flexibilidad cognitiva y la planificación en las competencias matemáticas tempranas,10.22235/cp.v18i1.3277,https://doi.org/10.22235/cp.v18i1.3277,journal-article,2024,03,05,Ciencias Psicológicas,0000-0001-6973-2443
El efecto de las funciones ejecutivas sobre la competencia matemática temprana: un modelo de ecuaciones estructurales,10.5944/educxx1.36509,https://doi.org/10.5944/educxx1.36509,journal-article,2024,01,02,Educación XX1,0000-0001-6973-2443
Diferencias culturales en pruebas neuropsicológicas e inteligencia de preescolares cubanos,,https://revhph.sld.cu/index.php/hph/article/view/373,journal-article,2023,11,01,Revista del Hospital Psiquiátrico de La Habana,0000-0001-6973-2443
Flexibilidad cognitiva e inhibición como predictores de las competencias matemáticas tempranas en preescolares,10.4151/07189729-vol.62-iss.3-art.1369,http://dx.doi.org/10.4151/07189729-vol.62-iss.3-art.1369,journal-article,2023,07,26,Perspectiva Educacional,0000-0001-6973-2443
COGNITIVE FLEXIBILITY AND INHIBITION AS PREDICTORS OF EARLY MATHEMATICAL COMPETENCIES IN PRESCHOOLERS,10.4151/07189729-vol.62-iss.3-art.1369,https://publons.com/wos-op/publon/62356649/,journal-article,2023,,,Perspectiva Educacional,0000-0001-6973-2443
Competencias parentales y su influencia en la inhibición y planificación de escolares,10.53645/revprop.v6i1.104,http://dx.doi.org/10.53645/revprop.v6i1.104,journal-article,2023,01,22,Revista ProPulsión,0000-0001-6973-2443
Competencias parentales y su influencia en la inhibición y planificación de escolares,10.53645/revprop.v6i1.104,https://publons.com/wos-op/publon/62356652/,journal-article,2023,,,Revista ProPulsión,0000-0001-6973-2443
Capacidad predictiva de la memoria de trabajo e inhibición en las competencias matemáticas tempranas,10.20511/pyr2023.v11n2.1791,https://doi.org/10.20511/pyr2023.v11n2.1791,journal-article,2023,,,Propósitos Y Representaciones,0000-0001-6973-2443
Memoria de trabajo y planificación como predictores de las competencias matemáticas tempranas,10.14349/sumapsi.2022.v29.n2.5,http://dx.doi.org/10.14349/sumapsi.2022.v29.n2.5,journal-article,2022,11,30,Suma Psicológica,0000-0001-6973-2443
"Working memory and planning as predictors of early mathematical skills,Memoria de trabajo y planificación como predictores de las competencias matemáticas tempranas",10.14349/sumapsi.2022.v29.n2.5,http://www.scopus.com/inward/record.url?eid=2-s2.0-85148505096&partnerID=MN8TOARS,journal-article,2022,,,Suma Psicologica,0000-0001-6973-2443
Capacidades numéricas básicas y su influencia en las habilidades aritméticas de los primeros grados escolares. ,,https://rus.ucf.edu.cu/index.php/rus/article/view/2906,journal-article,2022,05,05,Revista Universidad y Sociedad,0000-0001-6973-2443
